,District,Place,Male,Female,Total,Within_the_area,Outside_the_area,Outside_the_state,,,,,,,,,,,,,
14,DAVANAGERE,URBAN,7799,7614,15413,10093,5320,39,,,,,,,,,,,,,
,DAVANAGERE,RURAL,9421,9168,18589,18244,345,11,,,,,,,,,,,,,
,DAVANAGERE,TOTAL,17220,16782,34002,28337,5665,50,,,,,,,,,,,,,
,Davangere CMC,,5427,5519,10946,6015,4931,33,,,,,,,,,,,,,
15,SHIMOGA,URBAN,10967,10258,21225,9788,11437,94,,,,,,,,,,,,,
,SHIMOGA,RURAL,6181,5824,12005,11692,313,14,,,,,,,,,,,,,
,SHIMOGA,TOTAL,17148,16082,33230,21480,11750,108,,,,,,,,,,,,,
,Shimoga CMC,,6026,5668,11694,6313,5381,60,,,,,,,,,,,,,
,Bhadravathi CMc,,2108,2017,4125,1500,2625,24,,,,,,,,,,,,,
16,UDUPI,URBAN,7828,7656,15484,3352,12132,52,,,,,,,,,,,,,
,UDUPI,RURAL,4441,4659,9100,8920,180,24,,,,,,,,,,,,,
,UDUPI,TOTAL,12269,12315,24584,12272,12312,76,,,,,,,,,,,,,
,Udupi CMc,,3066,2947,6013,366,5647,19,,,,,,,,,,,,,
17,CHIKMAGALUR,URBAN,6362,6070,12432,4050,8382,37,,,,,,,,,,,,,
,CHIKMAGALUR,RURAL,5622,4983,10605,10102,503,10,,,,,,,,,,,,,
,CHIKMAGALUR,TOTAL,11984,11053,23037,14152,8885,47,,,,,,,,,,,,,
,Chickmagalur CMC,,2073,1873,3946,1731,2215,5,,,,,,,,,,,,,
18,TUMKUR,URBAN,9103,9069,18172,11220,6952,187,,,,,,,,,,,,,
,TUMKUR,RURAL,15125,14529,29654,29016,638,145,,,,,,,,,,,,,
,TUMKUR,TOTAL,24228,23598,47826,40236,7590,332,,,,,,,,,,,,,
,Tumkur CMC,,4731,4790,9521,7459,2062,35,,,,,,,,,,,,,
19,KOLAR,URBAN,11007,8756,19763,9702,10061,198,,,,,,,,,,,,,
,KOLAR,RURAL,11257,11622,22879,22236,643,28,,,,,,,,,,,,,
,KOLAR,TOTAL,22264,20378,42642,31938,10704,226,,,,,,,,,,,,,
,Kolar CMC,,2971,2237,5208,2636,2572,18,,,,,,,,,,,,,
,Robertsonpet CMC,,2302,1757,4059,1580,2479,91,,,,,,,,,,,,,
20,BANGALORE (U),URBAN,47230,53909,101139,92857,8282,1315,,,,,,,,,,,,,
,BANGALORE (U),RURAL,2978,3205,6183,6013,170,101,,,,,,,,,,,,,
,BANGALORE (U),TOTAL,50208,57114,107322,98870,8452,1416,,,,,,,,,,,,,
,Bangalore CC,,40816,46858,87674,84744,2930,1179,,,,,,,,,,,,,
,Dasarahalli CMC,,740,713,1453,388,1065,1,,,,,,,,,,,,,
,Byatarayanapura CMC,,287,434,721,300,421,4,,,,,,,,,,,,,
,Krishnarajapura CMC,,1065,1080,2145,1610,535,39,,,,,,,,,,,,,
,Mahadevapur CMC,,943,894,1837,1837,0,0,,,,,,,,,,,,,
,Bommanahalli CMC,,677,704,1381,0,1381,19,,,,,,,,,,,,,
21,BANGALORE (R),URBAN,8396,8668,17064,6898,10166,32,,,,,,,,,,,,,
,BANGALORE (R),RURAL,8195,7277,15472,14309,1163,15,,,,,,,,,,,,,
,BANGALORE (R),TOTAL,16591,15945,32536,21207,11329,47,,,,,,,,,,,,,
22,MANDYA,URBAN,6586,6064,12650,4849,7801,13,,,,,,,,,,,,,
,MANDYA,RURAL,8016,8477,16493,16047,446,7,,,,,,,,,,,,,
,MANDYA,TOTAL,14602,14541,29143,20896,8247,20,,,,,,,,,,,,,
,Mandya CMC,,3409,3154,6563,2375,4188,7,,,,,,,,,,,,,
23,HASSAN,URBAN,7953,8171,16124,4525,11599,21,,,,,,,,,,,,,
,HASSAN,RURAL,7370,7827,15197,14945,252,10,,,,,,,,,,,,,
,HASSAN,TOTAL,15323,15998,31321,19470,11851,31,,,,,,,,,,,,,
,Hassan CMC,,3779,3653,7432,1693,5739,6,,,,,,,,,,,,,
24,DAKSHINA KANNADA,URBAN,13449,13323,26772,8419,18353,1593,,,,,,,,,,,,,
,DAKSHINA KANNADA,RURAL,8205,8395,16600,16034,566,198,,,,,,,,,,,,,
,DAKSHINA KANNADA,TOTAL,21654,21718,43372,24453,18919,1791,,,,,,,,,,,,,
,Mangalore CC,,6931,6839,13770,7766,6004,1131,,,,,,,,,,,,,
25,KODAGU,URBAN,4515,3599,8114,3035,5079,5,,,,,,,,,,,,,
,KODAGU,RURAL,1859,1387,3246,3117,129,14,,,,,,,,,,,,,
,KODAGU,TOTAL,6374,4986,11360,6152,5208,19,,,,,,,,,,,,,
26,MYSORE,URBAN,13965,13367,27332,16543,10789,59,,,,,,,,,,,,,
,MYSORE,RURAL,10233,10924,21157,20826,331,9,,,,,,,,,,,,,
,MYSORE,TOTAL,24198,24291,48489,37369,11120,68,,,,,,,,,,,,,
,Mysore CC,,9557,9043,18600,13496,5104,41,,,,,,,,,,,,,
27,CHAMARAJANAGARA,URBAN,3350,3016,6366,958,5408,19,,,,,,,,,,,,,
,CHAMARAJANAGARA,RURAL,5581,5657,11238,10903,335,29,,,,,,,,,,,,,
,CHAMARAJANAGARA,TOTAL,8931,8673,17604,11861,5743,48,,,,,,,,,,,,,
28,State,URBAN,262480,262683,525163,303544,221619,7603,,,,,,,,,,,,,
,State,RURAL,253523,238538,492061,471765,20296,2569,,,,,,,,,,,,,
,State,TOTAL,516003,501221,1017224,775309,241915,10172,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"TABLE B-2 2001 : LIVE BIRTHS BY PLACE OF RESIDENCE, DISTRICTS (RURAL & URBAN) AND TOWNS",,,,,,,,,,,,,,,,,,,,,
,With Population one Lakh and,,,,,,,,,,,,,,,,,,,,
,,Births by Place of Residence of,,,,Place of Occurrence,,,,,,,,,,,,,,,
,,Mother,,,Birth,of the Birth,,,,,,,,,,,,,,,
Sl.No.,District,,,,,,,,,,,,,,,,,,,,
,,,,,Rate,Within,Outside,,,,,,,,,,,,,,
,Male,,Female,Total,,the Area,the Area,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,,,,,,,,
1,BELGAUM,URBAN,9405,10113,19518,19.18,16800,2718,,,,,,,,,,,,,
,RURAL,35565,32024,67589,21.3,45522,22067,,,,,,,,,,,,,,
,TOTAL,44970,42137,87107,20.79,62322,24785,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Belgaum CC,,4053,4659,8712,21.7,7879,833,,,,,,,,,,,,,,
2,BAGALKOT,URBAN,4734,4596,9330,19.35,8465,865,,,,,,,,,,,,,
,RURAL,12881,12252,25133,22.92,17004,8129,,,,,,,,,,,,,,
,TOTAL,17615,16848,34463,21.83,25469,8994,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
3,BIJAPUR,URBAN,4177,4556,8733,22.22,6856,1877,,,,,,,,,,,,,
,RURAL,15401,13808,29209,20.59,21123,8086,,,,,,,,,,,,,,
,TOTAL,19578,18364,37942,20.95,27979,9963,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Bijapur CMC,,2644,3205,5849,23.64,4877,972,,,,,,,,,,,,,,
4,GULBARGA,URBAN,7098,6390,13488,16.56,12631,857,,,,,,,,,,,,,
,RURAL,16693,15592,32285,14.56,29989,2296,,,,,,,,,,,,,,
,TOTAL,23791,21982,45773,15.09,42620,3153,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Gulbarga CC,,5669,5056,10725,24.88,10494,231,,,,,,,,,,,,,,
5,BIDAR,URBAN,2868,2734,5602,16.1,5361,241,,,,,,,,,,,,,
,RURAL,10557,9717,20274,17.46,15820,4454,,,,,,,,,,,,,,
,TOTAL,13425,12451,25876,17.15,21181,4695,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Bidar CMC,,2030,1894,3924,22.56,3824,100,,,,,,,,,,,,,,
6,RAICHUR,URBAN,4225,4093,8318,20.14,6485,1833,,,,,,,,,,,,,
,RURAL,11797,10720,22517,19.18,19954,2563,,,,,,,,,,,,,,
,TOTAL,16022,14813,30835,19.43,26439,4396,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Raichur CMC,,2738,2647,5385,26.04,4112,1273,,,,,,,,,,,,,,
7,KOPPALA,URBAN,1867,1519,3386,18.06,2867,519,,,,,,,,,,,,,
,RURAL,11922,10404,22326,23.59,20399,1927,,,,,,,,,,,,,,
,TOTAL,13789,11923,25712,22.68,23266,2446,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
8,GADAG,URBAN,2499,2565,5064,14.75,4157,907,,,,,,,,,,,,,
,RURAL,7293,6929,14222,22.51,9434,4788,,,,,,,,,,,,,,
,TOTAL,9792,9494,19286,19.78,13591,5695,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,
"TABLE B-2 2001 : LIVE BIRTHS BY PLACE OF RESIDENCE, DISTRICTS (RURAL & URBAN) AND TOWNS",,,,,,,,,,,,,,,,,,,,,
,,With Population one Lakh and,,,,,,,,,,,,,,,,,,,
,,,Births by Place of Residence of,,,,Place of Occurrence,,,,,,,,,,,,,,
,,,Mother,,,Birth,of the Birth,,,,,,,,,,,,,,
Sl.No.,District,,,,,,,,,,,,,,,,,,,,
,,,,,,Rate,Within,Outside,,,,,,,,,,,,,
,,Male,,Female,Total,,the Area,the Area,,,,,,,,,,,,,
1,2,,3,4,5,6,7,8,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Gadag-Betigeri CMC,,1160,1161,2321,14.94,2026,295,,,,,,,,,,,,,
9,DHARWAD,URBAN,10169,10719,20888,23.56,17300,3588,,,,,,,,,,,,,
,,RURAL,9806,8531,18337,25.33,10727,7610,,,,,,,,,,,,,
,,TOTAL,19975,19250,39225,24.35,28027,11198,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Hubli-Dharwad CC,,8921,9523,18444,23.36,15301,3143,,,,,,,,,,,,,
10,UTTARA KANNADA,URBAN,5095,5219,10314,26.38,9745,569,,,,,,,,,,,,,
,,RURAL,9620,9290,18910,19.57,11427,7483,,,,,,,,,,,,,
,,TOTAL,14715,14509,29224,21.53,21172,8052,,,,,,,,,,,,,
11,HAVERI,URBAN,4086,3601,7687,25.42,6505,1182,,,,,,,,,,,,,
,,RURAL,14287,12990,27277,23.91,23779,3498,,,,,,,,,,,,,
,,TOTAL,18373,16591,34964,24.22,30284,4680,,,,,,,,,,,,,
12,BELLARY,URBAN,6506,6336,12842,18.04,12029,813,,,,,,,,,,,,,
,,RURAL,15515,14401,29916,22.74,26504,3412,,,,,,,,,,,,,
,,TOTAL,22021,20737,42758,21.09,38533,4225,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Hospet CMC,,909,1510,2419,14.66,2289,130,,,,,,,,,,,,,
,Bellary CMC,,3915,3321,7236,22.7,7024,212,,,,,,,,,,,,,
13,CHITRADURGA,URBAN,4485,4731,9216,33.41,8054,1162,,,,,,,,,,,,,
,,RURAL,12183,11634,23817,19.21,17679,6138,,,,,,,,,,,,,
,,TOTAL,16668,16365,33033,21.79,25733,7300,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Chitradurga CMC,,1323,1701,3024,24.49,2497,527,,,,,,,,,,,,,
14,DAVANAGERE,URBAN,5980,5925,11905,24.18,10093,1812,,,,,,,,,,,,,
,,RURAL,11231,10778,22009,17.93,18244,3765,,,,,,,,,,,,,
,,TOTAL,17211,16703,33914,19.72,28337,5577,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Davangere CMC,,3151,3330,6481,17.7,6015,466,,,,,,,,,,,,,
15,SHIMOGA,URBAN,5524,5166,10690,18.64,9788,902,,,,,,,,,,,,,
,,RURAL,11388,10595,21983,20.52,11692,10291,,,,,,,,,,,,,
,,TOTAL,16912,15761,32673,19.86,21480,11193,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Shimoga CMC,,3395,3242,6637,24.01,6313,324,,,,,,,,,,,,,
,Bhadravathi CMC,,882,806,1688,10.35,1500,188,,,,,,,,,,,,,
,,,16,,,,,,,,,,,,,,,,,,
"TABLE B-2 2001 : LIVE BIRTHS BY PLACE OF RESIDENCE, DISTRICTS (RURAL & URBAN) AND TOWNS",,,,,,,,,,,,,,,,,,,,,
,,With Population one Lakh and,,,,,,,,,,,,,,,,,,,
,,,Births by Place of Residence of,,,,Place of Occurrence,,,,,,,,,,,,,,
,,,Mother,,,Birth,of the Birth,,,,,,,,,,,,,,
Sl.No.,District,,,,,,,,,,,,,,,,,,,,
,,,,,,Rate,Within,Outside,,,,,,,,,,,,,
,,Male,,Female,Total,,the Area,the Area,,,,,,,,,,,,,
1,2,,3,4,5,6,7,8,,,,,,,,,,,,,
16,UDUPI,URBAN,1821,1903,3724,17.91,3352,372,,,,,,,,,,,,,
,,RURAL,10371,10357,20728,22.94,8920,11808,,,,,,,,,,,,,
,,TOTAL,12192,12260,24452,22,12272,12180,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Udupi CMC,,295,310,605,5.26,366,239,,,,,,,,,,,,,
17,CHIKMAGALUR,URBAN,2398,2328,4726,21.1,4050,676,,,,,,,,,,,,,
,,RURAL,8919,8270,17189,19.31,10102,7087,,,,,,,,,,,,,
,,TOTAL,11317,10598,21915,19.67,14152,7763,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Chickmagalur CMC,,1101,1053,2154,21.11,1731,423,,,,,,,,,,,,,
18,TUMKUR,URBAN,5967,6041,12008,24.53,11220,788,,,,,,,,,,,,,
,,RURAL,18371,17513,35884,19.09,29016,6868,,,,,,,,,,,,,
,,TOTAL,24338,23554,47892,20.22,40236,7656,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Tumkur CMC,,3793,3978,7771,30.92,7459,312,,,,,,,,,,,,,
19,KOLAR,URBAN,7137,5618,12755,20.31,9702,3053,,,,,,,,,,,,,
,,RURAL,14741,14602,29343,15.41,22236,7107,,,,,,,,,,,,,
,,TOTAL,21878,20220,42098,16.63,31938,10160,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Kolar CMC,,1602,1250,2852,25.01,2636,216,,,,,,,,,,,,,
,Robertsonpet CMC,,911,669,1580,11.04,1580,0,,,,,,,,,,,,,
20,BANGALORE (U),URBAN,45058,51092,96150,16.58,92857,3293,,,,,,,,,,,,,
,,RURAL,6083,6766,12849,16.69,6013,6836,,,,,,,,,,,,,
,,TOTAL,51141,57858,108999,16.59,98870,10129,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Bangalore CC,,40625,46904,87529,20.2,84744,2785,,,,,,,,,,,,,
,Dasarahalli CMC,,298,167,465,1.75,388,77,,,,,,,,,,,,,
,Byatarayanapura CMC,,156,170,326,1.78,300,26,,,,,,,,,,,,,
,Krishnarajapura CMC,,883,811,1694,8.95,1610,84,,,,,,,,,,,,,
,Mahadevapur CMC,,952,902,1854,13.54,1837,17,,,,,,,,,,,,,
,Bommanahalli CMC,,41,27,68,0.33,0,68,,,,,,,,,,,,,
21,BANGALORE (R),URBAN,3772,3383,7155,17.6,6898,257,,,,,,,,,,,,,
,,RURAL,11481,11516,22997,15.79,14309,8688,,,,,,,,,,,,,
,,TOTAL,15253,14899,30152,16.19,21207,8945,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
"TABLE B-2 2001 : LIVE BIRTHS BY PLACE OF RESIDENCE, DISTRICTS (RURAL & URBAN) AND TOWNS",,,,,,,,,,,,,,,,,,,,,
,With Population one Lakh and,,,,,,,,,,,,,,,,,,,,
,,Births by Place of Residence of,,,,Place of Occurrence,,,,,,,,,,,,,,,
,,Mother,,,Birth,of the Birth,,,,,,,,,,,,,,,
Sl.No.,District,,,,,,,,,,,,,,,,,,,,
,,,,,Rate,Within,Outside,,,,,,,,,,,,,,
,Male,,Female,Total,,the Area,the Area,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,,,,,,,,
22,MANDYA,URBAN,3118,2849,5967,21.12,4849,1118,,,,,,,,,,,,,
,RURAL,11754,11915,23669,15.97,16047,7622,,,,,,,,,,,,,,
,TOTAL,14872,14764,29636,16.79,20896,8740,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Mandya CMC,,1517,1420,2937,22.34,2375,562,,,,,,,,,,,,,,
23,HASSAN,URBAN,2637,2735,5372,17.58,4525,847,,,,,,,,,,,,,
,RURAL,12765,13314,26079,18.37,14945,11134,,,,,,,,,,,,,,
,TOTAL,15402,16049,31451,18.23,19470,11981,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Hassan CMC,,979,974,1953,16.65,1693,260,,,,,,,,,,,,,,
24,DAKSHINA KANNADAURBAN,4989,4861,9850,13.45,8419,1431,,,,,,,,,,,,,,
,RURAL,15467,15631,31098,26.55,16034,15064,,,,,,,,,,,,,,
,TOTAL,20456,20492,40948,21.51,24453,16495,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Mangalore CC,,4065,3949,8014,19.94,7766,248,,,,,,,,,,,,,,
25,KODAGU,URBAN,1854,1360,3214,43.16,3035,179,,,,,,,,,,,,,
,RURAL,4646,3697,8343,17.68,3117,5226,,,,,,,,,,,,,,
,TOTAL,6500,5057,11557,21.16,6152,5405,,,,,,,,,,,,,,
26,MYSORE,URBAN,9112,8625,17737,18.23,16543,1194,,,,,,,,,,,,,
,RURAL,14649,15192,29841,17.96,20826,9015,,,,,,,,,,,,,,
,TOTAL,23761,23817,47578,18.06,37369,10209,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Mysore CC,,7244,6892,14136,18.88,13496,640,,,,,,,,,,,,,,
27,CHAMARAJANAGARAURBAN,655,533,1188,7.98,958,230,,,,,,,,,,,,,,
,RURAL,8259,8142,16401,20.06,10903,5498,,,,,,,,,,,,,,
,TOTAL,8914,8675,17589,18.2,11861,5728,,,,,,,,,,,,,,
28,OTHERS,URBAN,2012,2106,4118,27.65,0,4118,,,,,,,,,,,,,
,RURAL,3110,2944,6054,7.4,0,6054,,,,,,,,,,,,,,
,TOTAL,5122,5050,10172,10.52,0,10172,,,,,,,,,,,,,,
29,State,URBAN,169248,171697,340945,19.04,303544,37401,,,,,,,,,,,,,
,RURAL,346755,329524,676279,19.7,471765,204514,,,,,,,,,,,,,,
,TOTAL,516003,501221,1017224,19.47,775309,241915,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,,,,,
,,TABLE B-3 2001 : TIME GAP IN REGISTRATION OF LIVE BIRTHS (RURAL & URBAN),,,,,,,,,,,,,,,,,,,
,,,,,RURAL,,,,,,,,,,,,,,,,
,,,Number of Live Births Registration,,,,,,,,,,,,,,,,,,
SL.N,,,,,Delayed Registration,,,,,,,,,,,,,,,,
,DISTRICT,Within,,,,,,,,,,,,,,,,,,,
O.,,,,,,After 30 days,,,,,,,,,,,,,,,
,,Prescribed Time,,Within 30,,,,,,,,,,,,,,,,,
,,,,,but Within 1,,,After 1 Year,,,,,,,,,,,,,
,,Limit,,days,,,,,,,,,,,,,,,,,
,,,,,,Year,,,,,,,,,,,,,,,
,,Male,Female,Male,Female,Male,Female,Male,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
1,BELGAUM,25026,21567,339,312,480,358,372,,,,,,,,,,,,,
2,BAGALKOT,9220,8754,90,93,78,108,54,,,,,,,,,,,,,
3,BIJAPUR,11273,9960,62,62,187,126,119,,,,,,,,,,,,,
4,GULBARGA,14626,13728,602,559,457,428,36,,,,,,,,,,,,,
5,BIDAR,7424,6644,563,590,378,349,30,,,,,,,,,,,,,
6,RAICHUR,9735,8725,600,576,269,255,90,,,,,,,,,,,,,
7,KOPPALA,10174,8818,405,364,572,427,67,,,,,,,,,,,,,
8,GADAG,5672,5481,70,69,152,139,34,,,,,,,,,,,,,
9,DHARWAD,6455,5417,88,74,224,186,81,,,,,,,,,,,,,
10,UTTARA KANNADA,5517,5158,144,115,212,218,376,,,,,,,,,,,,,
11,HAVERI,13115,11842,93,75,167,160,93,,,,,,,,,,,,,
12,BELLARY,13549,12532,298,299,259,239,47,,,,,,,,,,,,,
13,CHITRADURGA,8600,8320,230,207,211,193,24,,,,,,,,,,,,,
14,DAVANAGERE,8922,8710,286,239,184,188,29,,,,,,,,,,,,,
15,SHIMOGA,5290,5013,240,256,299,194,352,,,,,,,,,,,,,
16,UDUPI,4106,4283,83,83,68,99,184,,,,,,,,,,,,,
17,CHIKMAGALUR,5160,4635,181,96,144,135,137,,,,,,,,,,,,,
18,TUMKUR,14372,13667,345,386,234,287,174,,,,,,,,,,,,,
19,KOLAR,9893,10404,672,681,658,511,34,,,,,,,,,,,,,
20,BANGALORE (U),2790,3025,110,84,56,63,22,,,,,,,,,,,,,
21,BANGALORE (R),7875,7000,163,116,91,111,66,,,,,,,,,,,,,
22,MANDYA,7216,7639,398,466,327,315,75,,,,,,,,,,,,,
23,HASSAN,6530,6986,402,409,378,361,60,,,,,,,,,,,,,
24,DAKSHINA KANNADA,7705,7894,119,100,155,147,226,,,,,,,,,,,,,
25,KODAGU,1571,1151,112,101,104,69,72,,,,,,,,,,,,,
26,MYSORE,9815,10501,249,264,124,129,45,,,,,,,,,,,,,
27,CHAMARAJANAGARA,5251,5296,216,183,83,137,31,,,,,,,,,,,,,
28,STATE,236882,223150,7160,6859,6551,5932,2930,,,,,,,,,,,,,
,,,,,,,19,,,,,,,,,,,,,,
,TABLE B-4 2001 : LIVE BIRTHS BY SEX AND MONTH OF OCCURRENCE,,,,,,,,,,,,,,,,,,,,
Sl.N,,,,,,,Months,,,,,,,,,,,,,,
District,Sex,,,,,,,,,,,,,,,,,,,,
o.,,Jan,Feb,Mar,Apr,May,June,July,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
1,BELGAUM,Male,3576,3301,3515,3267,3917,3933,,,,,,,,,,,,,
,Female,3300,3101,3364,3075,3600,3801,3692,,,,,,,,,,,,,
,Total,6876,6402,6879,6342,7517,7734,7666,,,,,,,,,,,,,
2,BAGALKOT,Male,1331,1110,1530,1618,1567,1366,,,,,,,,,,,,,
,Female,1321,1145,1548,1454,1466,1388,1486,,,,,,,,,,,,,
,Total,2652,2255,3078,3072,3033,2754,3122,,,,,,,,,,,,,
3,BIJAPUR,Male,1403,1494,1250,1237,1417,1743,,,,,,,,,,,,,
,Female,1220,1232,1187,1190,1061,1386,1594,,,,,,,,,,,,,
,Total,2623,2726,2437,2427,2478,3129,3211,,,,,,,,,,,,,
4,GULBARGA,Male,1457,1410,1775,1335,1791,2241,,,,,,,,,,,,,
,Female,1486,1317,1632,1189,1703,2144,1776,,,,,,,,,,,,,
