District,RegisteredBirth,BirthRate,RegisteredDeath,DeathRate,RegisteredInfantDeath,RegisteredStillBirth,StillBirthRate,,,,,,,
TUMKUR,31416,14.46,6011,5.92,327,44,0.75,,,,,,,
UDUPI,14907,13.33,3823,3.96,234,108,2.73,,,,,,,
UTTARA KANNADA,24387,20.41,3281,4.79,652,127,4.52,,,,,,,
YADGIR,8417,22.18,1750,5.13,52,0,0,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
District,Sex,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
BAGALKOTE,M,2003,1911,2101,1986,2110,1916,2407,2249,2124,2097,2304,2532,25740
BAGALKOTE,F,1892,1789,1877,1749,1934,1716,2050,1927,1832,2103,1974,2268,23111
BANGALORE (R),M,475,481,384,582,369,336,432,406,308,395,302,274,4744
BANGALORE (R),F,351,383,440,539,319,344,303,338,273,422,266,243,4221
BANGALORE (U),M,7070,6345,7520,6531,7029,6744,6928,6858,6996,6491,6778,7090,82380
BANGALORE (U),F,6429,5894,7011,6080,6705,6463,6458,6128,6534,6123,6413,6654,76892
BELGAUM,M,2722,3382,2573,3034,3954,4652,4671,3840,4194,4556,4749,5247,47574
BELGAUM,F,2228,2634,2234,2768,3356,4049,4155,3454,3700,4324,4112,4431,41445
BELLARY,M,1842,1883,2375,1593,2325,2354,2466,2495,2285,2514,2744,3280,28156
BELLARY,F,1733,1725,2190,1553,1889,2131,2590,2578,1909,2257,2342,3003,25900
BIDAR,M,1283,954,1150,1031,2005,3005,2271,1894,2006,1766,1800,886,20051
BIDAR,F,1089,898,1282,836,1485,2439,1889,1405,1524,1474,1381,823,16525
BIJAPUR,M,1609,1815,1981,1838,2046,2175,2617,2359,2657,2875,3588,3109,28669
BIJAPUR,F,1255,1372,1699,1468,1650,1831,1988,2033,2137,2269,3254,2643,23599
CHAMARAJANAGAR,M,433,253,545,476,480,490,489,405,393,464,531,520,5479
CHAMARAJANAGAR,F,423,240,439,390,457,465,387,371,357,420,492,475,4916
CHIKBALLAPUR,M,558,470,620,673,550,628,585,704,732,856,715,754,7845
CHIKBALLAPUR,F,464,461,569,552,520,564,609,729,668,688,698,672,7194
CHIKMAGALUR,M,543,679,703,667,651,656,638,691,666,693,798,779,8164
CHIKMAGALUR,F,473,591,628,529,644,603,586,630,629,655,697,720,7385
CHITRADURGA,M,1496,987,889,648,858,945,1039,1038,1128,1031,1159,989,12207
CHITRADURGA,F,1566,899,879,520,812,843,984,968,1045,878,1057,1083,11534
DAKSHINA KANNADA,M,1407,1433,1620,1726,1771,1720,1827,1617,1920,2066,2088,1991,21186
DAKSHINA KANNADA,F,1030,1054,1331,1374,1500,1522,1745,1413,1710,1852,1880,1924,18335
DAVANAGERE,M,1237,1192,1464,1372,1381,1388,1415,1515,2136,1788,1612,1580,18080
DAVANAGERE,F,1260,1176,1432,1475,1411,1413,1414,1302,1823,1716,1505,1417,17344
DHARWAD,M,2834,2245,1705,1316,1241,1764,889,3027,1318,1087,2621,1858,21905
DHARWAD,F,1556,1541,1550,1155,893,1556,710,2404,1305,933,1635,1837,17075
GADAG,M,781,834,715,736,747,1028,908,973,907,800,1061,975,10465
GADAG,F,722,696,711,681,709,932,825,815,855,713,1003,880,9542
GULBARGA,M,2464,3023,2791,2593,2218,2069,2516,2668,2537,2740,2758,2720,31097
GULBARGA,F,2741,2459,2412,2218,1977,1761,2048,2331,2226,2466,2381,2478,27498
HASSAN,M,936,1088,1190,1425,1138,868,965,976,1068,1160,1225,1194,13233
HASSAN,F,804,1034,974,1038,1089,933,936,942,932,1015,1146,1148,11991
HAVERI,M,1215,521,819,873,1125,1408,1214,910,1019,1066,1154,1296,12620
HAVERI,F,1057,455,769,778,1079,1278,1179,827,884,975,998,1176,11455
KODAGU,M,263,249,360,333,502,280,473,399,342,346,422,367,4336
KODAGU,F,221,198,258,311,420,219,382,289,293,288,413,343,3635
KOLAR,M,920,755,1082,903,1020,927,1397,1099,1094,1040,1003,1067,12307
KOLAR,F,820,824,1025,805,962,879,1243,993,988,942,1020,940,11441
KOPPAL,M,1007,1080,787,983,1269,1350,1163,1187,1098,1361,1297,1462,14044
KOPPAL,F,946,1137,729,821,1161,1222,1002,1093,1002,1203,1251,1367,12934
MANDYA,M,934,862,1039,871,986,785,981,886,959,781,948,828,10860
MANDYA,F,799,766,878,755,871,683,817,724,841,670,766,677,9247
MYSORE,M,2281,2249,1936,2222,2275,1827,1641,1997,2031,2204,1951,2184,24798
MYSORE,F,2059,2114,1596,2049,2035,1700,1541,1800,1857,2020,1744,2061,22576
RAICHUR,M,1274,1047,938,800,877,1004,1163,1282,1246,1044,1147,1264,13086
RAICHUR,F,1084,1030,1043,1013,807,937,1176,1184,1069,963,940,1036,12282
RAMANAGAR,M,552,381,572,509,572,635,528,476,494,484,577,490,6270
RAMANAGAR,F,518,407,491,445,606,492,507,464,462,475,460,439,5766
SHIMOGA,M,815,723,988,1138,1312,1628,1823,1671,1586,2046,2052,1710,17492
SHIMOGA,F,709,547,840,1010,1262,1484,1518,1459,1524,1889,1777,1481,15500
TUMKUR,M,1617,1470,1651,1683,1678,1820,1984,1470,1547,1618,1311,1530,19379
TUMKUR,F,1386,1309,1458,1445,1535,1625,1724,1261,1430,1444,1220,1427,17264
UDUPI,M,835,729,864,785,862,911,828,872,795,987,772,859,10099
UDUPI,F,613,641,756,698,769,798,659,794,660,844,673,720,8625
UTTARA KANNADA,M,1132,920,1235,1188,1286,1312,1348,1184,1244,1347,1429,1572,15197
UTTARA KANNADA,F,973,868,1261,957,1203,1301,1289,1097,1140,1246,1276,998,13609
YADGIR,M,510,813,532,435,1057,1127,992,994,525,543,566,970,9064
YADGIR,F,361,715,514,403,820,995,786,951,432,558,585,760,7880
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Methodo Delivery,GRural,GUrban,GTotal,PRural,PUrban,PTotal,,,,,,,,
Natural,132210,331267,463477,27729,194939,222668,,,,,,,,
Caesarean,9808,108698,118506,12162,164510,176672,,,,,,,,
Forceps/ Vaccum,1068,3717,4785,629,8927,9556,,,,,,,,
Not Stated,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Institution,Area,Natural,Caesarean,Forceps/ Vaccum,Not Stated,,,,,,,,,
Government Hospital,Rural,132210,9808,1068,0,,,,,,,,,
Government Hospital,Urban,331267,108698,3717,0,,,,,,,,,
Government Hospital,Total,463477,118506,4785,0,,,,,,,,,
Private & Non-Government,Rural,27729,12162,629,0,,,,,,,,,
Private & Non-Government,Urban,194939,164510,8927,0,,,,,,,,,
Private & Non-Government,Total,222668,176672,9556,0,,,,,,,,,
